customer_id,application_id,pred_default_proba,actual_default_flag
10000,620515,0.03255202052725606,False
10001,624978,0.6632869251500826,True
10002,564658,0.0731584930108254,False
10003,621493,0.012191692780151853,False
10004,637785,0.024125053276639302,False
10005,621228,0.023789843295451606,False
10006,628798,0.02425183008465802,False
10007,625711,0.04374692356523642,False
10008,605561,0.018843907005897817,False
10009,594868,0.0023723874709718996,False
10010,572495,0.0953627122697309,False
10011,586935,0.027764879096923142,False
10012,589874,0.004744774941943799,False
10013,561432,0.01710518110158054,False
10014,565218,0.6225354968027742,True
10015,633496,0.08725013691837928,False
10016,544943,0.14109721982052664,False
10017,546555,0.021356683926582985,False
10018,607914,0.04196263574818605,False
10019,613955,0.013763370249569756,False
10020,609677,0.007152559453881697,False
10021,547289,0.18255238168227514,False
10022,625090,0.042812942968398604,False
10023,564241,0.02867121784763173,False
10024,586125,0.6250461633281451,True
10025,559682,0.037039402710401445,False
10026,633430,0.012126215368006177,False
10027,639686,0.010832715655392814,False
10028,637525,0.04555628391654452,False
10029,573924,0.01204301003569928,False
10030,623816,0.16977093495892062,False
10031,629730,0.0019701268742791235,False
10032,561615,0.013490459112449362,False
10033,581527,0.009333216451586074,False
10034,560396,0.004872387470971899,False
10035,573327,0.9021605069963123,True
10036,614563,0.15363315434498623,False
10037,556199,0.6764875594058276,True
10038,641646,0.004977786331002042,False
10039,560924,0.015307084740215528,False
10040,564586,0.07307318452854748,False
10041,634371,0.03777316668423412,False
10042,584957,0.0141214173359466,False
10043,576570,0.0024668268758629057,False
10044,570124,0.032100450802483554,False
10045,623950,0.018648428624515444,False
10046,596479,0.6797846128377855,True
10047,620292,0.03985386233430279,False
10048,549521,0.06035241572142376,False
10049,629992,0.01139569551098706,False
10050,580589,0.07395911977885458,False
10051,557050,0.0019701268742791235,False
10052,580512,0.013961486198659443,False
10053,615345,0.016813542907127152,False
10054,599168,0.009788660571766385,False
10055,584485,0.016119551278356372,False
10056,638496,0.0167490298649747,False
10057,618485,0.026290981066166917,False
10058,642864,0.046409843601300176,False
10059,545369,0.01645921821888027,False
10060,629404,0.01818138696636508,False
10061,606563,0.047058272610215376,False
10062,577054,0.6297609885917962,True
10063,626993,0.027647378632484412,False
10064,581084,0.11195434514309449,False
10065,623243,0.0,False
10066,604849,0.009537342175207325,False
10067,590742,0.01203133152754728,False
10068,572971,0.01686424714364907,False
10069,629257,0.02814362861537301,False
10070,545372,0.0677418299182016,False
10071,575753,0.0,False
10072,609084,0.6465283996918296,True
10073,559325,0.04722808489493523,False
10074,562727,0.013963685657098057,False
10075,578402,0.019828351413933992,False
10076,594753,0.03511127920834035,False
10077,611392,0.006805204779724065,False
10078,643883,0.011640555752601232,False
10079,579245,0.013888612487642752,False
10080,578874,0.014665927445494316,False
10081,608381,0.07408871956496106,False
10082,549087,0.011528909506243391,False
10083,613896,0.009679297529798124,False
10084,631205,0.0,False
